"Group","Variable","Units","Description"
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW RESET", "bool", "This can be used to reset the cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). Essentially the same as the user pressing the default reset keys CTRL + Space."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:0", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:1", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:2", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:3", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:4", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:5", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:6", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:7", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:8", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "CAMERA ACTION COCKPIT VIEW SAVE:9", "bool", "This can be used to save a cockpit camera when the CAMERA_STATE is set to 2 (Cockpit). The index value given is the save \"slot\" that will be used, from 0 to 9. Essentially this is the same as the user pressing the default save keys CTRL + Alt + 0-9."
"Cockpit Cameras", "COCKPIT CAMERA HEADLOOK", "enum", "This is used to get/set the look state of the cockpit camera. Note that this value will also affect the CAMERA_SUBSTATE value, when the CAMERA_STATE is set to 2 (Cockpit)."
"Cockpit Cameras", "COCKPIT CAMERA HEIGHT", "percent over 100", "This can be used to get/set the cockpit camera height modifier expressed as a percentage. Default is 50%."
"Cockpit Cameras", "COCKPIT CAMERA INSTRUMENT AUTOSELECT", "bool", "This can be used to get or set the autoselect option for the cockpit camera when viewing the instruments (ie: the CAMERA_SUBSTATE is 5). When enabled the camera will move automatically if the player mouse reaches the edge of the screen and there are instrument panels available on that side."
"Cockpit Cameras", "COCKPIT CAMERA MOMENTUM", "percent over 100", "Sets/gets the momentum modifier of the cockpit camera, which is controls how fast/slow the camera will stop moving when no longer being moved by the user. Default is 50%."
"Cockpit Cameras", "COCKPIT CAMERA SIDE", "enum", "Not currently used in the simulation."
"Cockpit Cameras", "COCKPIT CAMERA SPEED", "percent over 100", "Sets/gets the translation speed modifier of the cockpit camara, as a percentage. Default is 50%."
"Cockpit Cameras", "COCKPIT CAMERA UPPER POSITION", "bool", "Sets/gets the current \"upper position\" cockpit camera toggle. When 1 (TRUE), the camera is is in the upper position, and when 0 (FALSE) it is in the default position."
"Cockpit Cameras", "COCKPIT CAMERA ZOOM", "percent over 100", "Sets/gets the zoom/FOV modifier for the cockpit camera. Note that when setting this value, it will affect the camera regardless of whether the GAMEPLAY_CAMERA_FOCUS is set to manual or automatic. Default is 50%."
"Cockpit Cameras", "COCKPIT CAMERA ZOOM SPEED", "percent over 100", "Sets/gets the speed modifier for when the zoom/FOV cockpit camera changes zoom/FOV levels. Default is 50%."
"Drone Cameras", "DRONE CAMERA FOCUS", "percent over 100", "Sets/gets the focus modifier for the drone camera. Default is 50%, and a lower value will set the drone focus to things in the foreground and a higher level will set the drone focus to things in the background. Note that this is only taken into account when the DRONE_CAMERA_FOCUS_MODE is set to 3 (manual)."
"Drone Cameras", "DRONE CAMERA FOCUS MODE", "enum", "Sets/gets the current drone focus mode. When set to 3 (manual), the focus position will be based on the DRONE_CAMERA_FOCUS value."
"Drone Cameras", "DRONE CAMERA FOLLOW", "bool", "Sets/gets the whether the drone camera is in follow mode or not."
"Drone Cameras", "DRONE CAMERA FOV", "percent over 100", "Sets/gets the zoom/FOV modifier for the drone camera. Default is 50%."
"Drone Cameras", "DRONE CAMERA LOCKED", "bool", "Sets/gets the whether the drone camera is locked or not."
"Drone Cameras", "DRONE CAMERA SPEED ROTATION", "percent over 100", "Sets/gets the rotation speed modifier of the drone camara, as a percentage. Default is 50%."
"Drone Cameras", "DRONE CAMERA SPEED TRAVELLING", "percent over 100", "Sets/gets the translation speed modifier of the drone camara, as a percentage. Default is 50%."
"Smart Cameras", "SMART CAMERA ACTIVE", "bool", "Sets/gets the whether the smart camera is active or not."
"Smart Cameras", "SMART CAMERA INFO:0", "number", "Gets information on the smartcam system. The index sets what kind of information will be returned (or set): 0 = Gets the number of smartcam targets in the smart camera list 1 = Gets or sets the index of the currently selected smartcam target, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA INFO:1", "number", "Gets information on the smartcam system. The index sets what kind of information will be returned (or set): 0 = Gets the number of smartcam targets in the smart camera list 1 = Gets or sets the index of the currently selected smartcam target, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:0", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:1", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:2", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:3", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:4", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:5", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:6", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:7", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:8", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:9", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:10", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:11", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"Smart Cameras", "SMART CAMERA LIST:12", "enum", "Retrieves the type of target for the indexed position in the smartcam list, counting from 0 (so index 0 is the first target in the list)."
"General", "FUEL CROSS FEED:1", "enum", "Cross feed valve setting. This will return the current setting for the fuel crossfeed for the indexed engine, based on the current status of the simulation and the Cross Feed key events."
"General", "FUEL CROSS FEED:2", "enum", "Cross feed valve setting. This will return the current setting for the fuel crossfeed for the indexed engine, based on the current status of the simulation and the Cross Feed key events."
"General", "FUEL CROSS FEED:3", "enum", "Cross feed valve setting. This will return the current setting for the fuel crossfeed for the indexed engine, based on the current status of the simulation and the Cross Feed key events."
"General", "FUEL CROSS FEED:4", "enum", "Cross feed valve setting. This will return the current setting for the fuel crossfeed for the indexed engine, based on the current status of the simulation and the Cross Feed key events."
"General", "FUEL DUMP ACTIVE", "bool", "If 1 (TRUE) then the aircraft can dump fuel."
"General", "FUEL DUMP SWITCH", "bool", "If set to 1 (TRUE) then the aircraft will dump fuel at the rate set by fuel_dump_rate parameter in the Flight Model Config Definition file."
"General", "FUEL LEFT CAPACITY", "gallons", "Maximum capacity in volume of all the tanks on the left side of the aircraft."
"General", "FUEL LEFT QUANTITY", "gallons", "Current quantity in volume of all the tanks on the left side of the aircraft."
"General", "FUEL PUMP", "number", "Currently not used within the simulation."
"General", "FUEL RIGHT CAPACITY", "gallons", "Maximum capacity in volume of all the tanks on the right side of the aircraft."
"General", "FUEL RIGHT QUANTITY", "gallons", "Current quantity in volume of all the tanks on the right side of the aircraft."
"General", "FUEL SELECTED QUANTITY:0", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:1", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:2", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:3", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:4", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:5", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:6", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:7", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:8", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:9", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:10", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:11", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:12", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:13", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:14", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
"General", "FUEL SELECTED QUANTITY:15", "gallons", "Quantity of fuel in the indexed tank. Index is one of the values listed in the Fuel Tank Selection table."
